City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Puerto Carreno,CO,89.31,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
391,Manta,EC,78.8,few clouds,-0.95,-80.7333,Balandra Hotel
392,Singapore,SG,78.8,haze,1.2897,103.8501,The Fullerton Hotel Singapore
393,Formosa,AR,84.2,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
394,Port-Gentil,GA,78.8,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
406,Sur,OM,81.93,clear sky,22.5667,59.5289,Sur Plaza Hotel
408,Sabang,ID,82.74,overcast clouds,5.8933,95.3214,Hotel Citra
410,Safford,US,80.6,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
414,Vaitape,PF,83.28,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
417,Quelimane,MZ,78.8,few clouds,-17.8786,36.8883,Hotel Flamingo
421,Gizo,SB,82.71,broken clouds,-8.103,156.8419,Imagination Island
426,Paita,PE,80.6,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
427,Sibu,MY,75.2,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
428,Rio Grande,BR,77.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
430,Samut Sakhon,TH,82.99,few clouds,13.5833,100.3,Taweesuk Residence
433,Maceio,BR,77.0,broken clouds,-9.6658,-35.7353,Poutur Pousada
434,Palmas,BR,77.0,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
444,Valvedditturai,LK,78.85,scattered clouds,9.8167,80.1667,Kanahathy Vadali
445,Caucaia,BR,82.4,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
457,Key Largo,US,75.99,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
460,Coahuayana,MX,84.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
464,Casa Nova,BR,84.2,clear sky,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
465,Barra,BR,76.57,overcast clouds,-11.0894,-43.1417,Motel Albatroz
470,Vao,NC,76.21,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
471,Maragogi,BR,78.06,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
485,Raga,SS,80.44,overcast clouds,8.4596,25.678,
489,Palauig,PH,80.6,broken clouds,15.435,119.9045,Myhousebythesea
493,Maumere,ID,80.82,light rain,-8.6199,122.2111,Sylvia Hotel
